가창 찐빵 골목,장애인 주차장 있음(가창면행정복지센터),전반적으로 평탄하고 골목길도 비좁지 않음,면사무소 와 보건소 장애인 전용 화장실 이용가능_무장애 편의시설,,,,,,
가창창작스튜디오&스페이스 가창,주차장에서 출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,,
강정고령보,장애인 주차장 있음_무장애 편의시설,출입구까지 경사로가 설치되어 있음,주출입구는 턱이 없어 휠체어 접근 가능함,엘리베이터 있음,장애인 화장실 있음,점자안내판 있음,,,
게이블루프커피,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),엘리베이터 있음,의자식 테이블 있음_무장애 편의시설,점자블록 있음(주요시설 앞)_시각장애인 편의시설,,,,
경북대학교박물관,장애인 전용 주차구역 있음(1대)_무장애 편의시설,출입구까지 경사로가 설치되어 있음,엘리베이터 있음,장애인 전용 화장실 있음,"음성안내기 무료대여(박물관 1층 안내실,신분증 제시)",,,,
경상감영공원,장애인 주차장 있음_무장애 편의시설,출입구까지 턱이 없어 휠체어 접근 가능함,장애인 화장실 있음(입구쪽),,,,,,
계명대학교 행소박물관,장애인 전용 주차구역 있음(2대)_무장애 편의시설,출입구까지 경사로가 설치되어 있음,"휠체어 무료대여(2대,1층에서 대여)",주출입구는 경사로가 있어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 화장실 있음(1층 정문 오른쪽 사무실 옆),점자블록 있음(출입구 및 주요시실 앞)_시각장애인 편의시설,,
계명아트센터,장애인 주차장 있음_무장애 편의시설,출입구까지 경사로가 설치되어 있음,출입구 경사로 있음,장애인 전용 관람석 있음,점자블록 있음(주출입구)_시각장애인 편의시설,안내요원 있음,,,
고모역복합문화공간,장애인 주차장 있음_무장애 편의시설,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,,
고산골,장애인 전용 주차구역 있음_무장애 편의시설,출입구까지 경사로가 설치되어 있음(산책로 휠체어 이동 용이),주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 화장실 있음,,,,,
국립대구과학관,장애인 주차장 있음(제1~3주차장)_무장애 편의시설,출입구까지 턱이 없어 휠체어 접근 가능함,"무료대여 가능 (1층 구급실, 2대 보유)",주출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인용 엘리베이터 있음,"장애인 화장실 있음(제1매표소,제2매표소)",점자유도로 있음_시각장애인 편의시설,자막해설 기능이 있는 NFC(어플)해설 사용가능,
국립대구기상과학관,장애인 전용 주차구역 있음(4대)_무장애 편의시설,출입구까지 단차가 없어 휠체어 접근 가능함,대여가능(2대),주출입구는 단차가 없어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 화장실 있음,장애인 전용 관람석 있음(3D상영관 2석),점자유도로 있음_시각장애인 편의시설,
국립대구박물관,"장애인 전용 주차구역 있음(6대,장애인표지판)_무장애 편의시설",출입구까지 경사로가 있어 휠체어 접근 가능함(장애인주차구역 뒷편 위치),"대여가능(무료,1대)",주출입구는 경사로가 있어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 화장실 있음,점자블록 있음_시각장애인 편의시설,가능(시각장애인과 동반입장 시),점자손잡이 있음(경사로손잡이)
그랜드면세점(대구시내점),"장애인 전용 주차구역 있음(1대,그랜드호텔주차장_무장애 편의시설",출입구까지 경사로 있어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 화장실 있음,,,,,
대구 계산동성당,장애인 전용 주차구역 있음_무장애 편의시설,주출입구는 계단이 있으나 좌측 보조출입구에 경사로가 설치되어 있음,휠체어 대여 가능함,장애인용화장실 있음(계산예가),,,,,
대구 근대골목(근대로의 여행),장애인 주차장 있음(주변 유료주차장),"동산병원, 3·1만세운동 길 을 제외한 나머지 구간은 휠체어로 이동가능",근대골목 내에 출입구에 경사로가 설치되어 있거나 단차가 없는 식당이 여럿 있음,장애인 전용 화장실 있음_무장애 편의시설,열린관광지 선정(2015년),,,,
대구 남구문화원,장애인 전용 주차구역 있음(3대)_무장애 편의시설,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 설치되어 있으며 주차장 쪽 보조출입구는 무단차로 연결 됨,엘리베이터 있음,장애인 전용 화장실 있음,점자블록 있음(보조출입구 접근로)_시각장애인 편의시설,,,
대구 녹색에너지체험관,장애인 전용 주차구역 있음(4대)_무장애 편의시설,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 화장실 있음,,,,
대구 달서문화원,장애인 전용 주차구역 있음_무장애 편의시설,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 화장실 있음,"점자블록 있음(입구,계단)_시각장애인 편의시설",,,
대구 달성공원,장애인 주차장 있음(1대)_무장애 편의시설,출입구까지 턱이 없어 휠체어 접근 가능함,대여가능,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 화장실 있음,안내요원 있음(공원정문),,,
